time,cart_pos,pend_pos,cart_vel,pend_vel,torque
3.280000000000000249e+00,6.091030455884214375e-04,3.142482690090861119e+00,5.241349613882620700e-04,-1.323087206920355550e-02,-1.042350842797789938e-02
3.300000000000000266e+00,6.195857448161866702e-04,3.142218072649476834e+00,2.968493755835476238e-04,-1.411825538781936312e-02,4.589405737941989159e-03
3.320000000000000284e+00,6.255227323278576357e-04,3.141935707541720468e+00,3.588994763710960873e-04,-1.466536283574406373e-02,4.846429383374526757e-03
3.339999999999999858e+00,6.327007218552795813e-04,3.141642400285005632e+00,4.146605621592633307e-04,-1.497888996149501772e-02,1.164298462804274834e-02
3.359999999999999876e+00,6.409939330984648891e-04,3.141342822485775788e+00,5.829808727617968389e-04,-1.504866619486715067e-02,-1.398278381046965183e-02
3.379999999999999893e+00,6.526535505537008281e-04,3.141041849161878563e+00,2.659016162218256021e-04,-1.491791799624476306e-02,1.465295589309536725e-02
3.399999999999999911e+00,6.579715828781373911e-04,3.140743490801953808e+00,4.931013894705307170e-04,-1.438707037687779119e-02,4.474918459172397625e-03
3.419999999999999929e+00,6.678336106675480510e-04,3.140455749394416074e+00,5.089050841269037199e-04,-1.368688465252177085e-02,-5.105481250282158101e-03
3.439999999999999947e+00,6.780117123500861015e-04,3.140182011701365461e+00,3.450051577577183007e-04,-1.274138920517687082e-02,-3.556480337267346054e-02
3.459999999999999964e+00,6.849118155052404469e-04,3.139927183917261999e+00,-3.586919635383989283e-04,-1.149151657684470938e-02,-1.050055473957710664e-02
3.479999999999999982e+00,6.777379762344724716e-04,3.139697353585725104e+00,-5.439827610941108411e-04,-9.734525097774419586e-03,6.035554930610400638e-03
3.500000000000000000e+00,6.668583210125903068e-04,3.139502663083769463e+00,-4.153975973416276259e-04,-7.711598155018341977e-03,-1.507381771090622602e-02
3.520000000000000018e+00,6.585503690657577066e-04,3.139348431120668970e+00,-6.844163095994160650e-04,-5.586425011004534855e-03,-1.367576331684517733e-02
3.540000000000000036e+00,6.448620428737693745e-04,3.139236702620448849e+00,-9.040510903344171467e-04,-3.232376241807508391e-03,-1.595245010558988055e-02
3.560000000000000053e+00,6.267810210670809968e-04,3.139172055095612812e+00,-1.144886851830351823e-03,-7.102610665436128595e-04,-2.454784404899704696e-03
3.580000000000000071e+00,6.038832840304739907e-04,3.139157849874282036e+00,-1.118483743046772092e-03,1.944739551154481012e-03,1.692175206476478899e-02
3.600000000000000089e+00,5.815136091695385706e-04,3.139196744665305072e+00,-7.436697051437909847e-04,4.575811258861762695e-03,1.004781915434047566e-02
3.620000000000000107e+00,5.666402150666627032e-04,3.139288260890482185e+00,-5.287820416089488102e-04,6.991731016787287867e-03,-5.274742230920515147e-03
3.640000000000000124e+00,5.560645742344837422e-04,3.139428095510818029e+00,-6.102709600242382706e-04,9.213210813865340895e-03,8.534417730484269299e-03
3.660000000000000142e+00,5.438591550339989290e-04,3.139612359727095292e+00,-4.310548898406144384e-04,1.132098167551110271e-02,3.475554663784912075e-04
3.680000000000000160e+00,5.352380572371866164e-04,3.139838779360605514e+00,-4.140490182778666260e-04,1.316866254259655561e-02,8.663963969333960541e-03
3.700000000000000178e+00,5.269570768716292774e-04,3.140102152611457420e+00,-2.439972008789443941e-04,1.478781346695338082e-02,1.192388988724045473e-02
3.720000000000000195e+00,5.220771328540503749e-04,3.140397908880796507e+00,-2.680649165784433391e-05,1.608432342849181948e-02,-5.446389635892742373e-03
